model,overall_mean_entropy,qubit_0_entropy,qubit_1_entropy,qubit_2_entropy,qubit_3_entropy,qubit_4_entropy,qubit_5_entropy
QNN_CPU,0.994183,0.989443,0.99303,0.992909,0.992359,0.99933,0.998026
QNN_GPU,0.994066,0.991207,0.992122,0.989619,0.994919,0.999369,0.997159
