model,z_eff_rank,z_dim,z_utilisation,q_emb_eff_rank,q_emb_dim,q_emb_utilisation
QNN_CPU,246.6883,512,0.4818,39.7518,128,0.3106
QNN_GPU,252.1062,512,0.4924,39.2988,128,0.307
