model,full_accuracy_%,classical_only_accuracy_%,quantum_only_accuracy_%,quantum_gain_%
QNN_CPU,94.8818,92.1285,49.0999,2.7533
QNN_GPU,95.5877,93.258,53.4769,2.3297
