Sigma,Hybrid QNN,CNN New
0.0,90.18708083303918,89.51641369572891
0.05,86.48076244264031,85.06883162725026
0.1,69.92587363219202,65.79597599717614
0.15,56.088951641369576,52.27673843981645
0.2,47.05259442287328,41.89904694669961
0.25,42.67560889516414,29.085774797034944
0.3,40.59301094246382,20.437698552770915
0.35,37.910342393222734,16.59018708083304
0.4,34.94528768090363,14.966466643134487
0.45,33.00388280974232,14.119308153900459
0.5,29.650547123190965,14.119308153900459
